timestamp,u,v,w,surge,sway,hb,hs,ax,ay,az,rx,ry,rz
-0.754481,-0.021099,-0.030188,0.001550,0.000000,0.000000,0.000000,0.000000,0.163192,1.316361,9.704350,-0.023896,0.016455,-0.013870
-0.633286,-0.031297,-0.022008,0.019114,0.000000,0.000000,0.000000,0.000000,0.166630,1.264634,9.758554,-0.010703,0.029814,-0.031027
-0.523190,-0.033598,-0.005969,0.022554,0.000000,0.000000,0.000000,0.000000,0.137273,1.298897,9.790654,0.001023,0.028373,-0.039505
-0.405096,-0.033578,0.004205,0.011983,0.000000,0.000000,0.000000,0.000000,0.104703,1.405838,9.730175,0.001298,0.016894,-0.037818
-0.306251,-0.028011,0.004720,-0.003133,0.000000,0.000000,0.000000,0.000000,0.068039,1.435358,9.640984,0.000692,0.003322,-0.037450
-0.185251,-0.025415,-0.003864,-0.010844,0.000000,0.000000,0.000000,0.000000,0.050983,1.446799,9.609132,0.002468,-0.020331,-0.037417
-0.085082,-0.021615,-0.015687,-0.017094,0.000000,0.000000,0.000000,0.000000,0.080670,1.410363,9.607362,-0.012568,-0.037342,-0.034061
0.014639,-0.022093,-0.022461,-0.017165,0.000000,0.000000,0.000000,0.000000,0.128029,1.308896,9.650870,-0.023220,-0.037912,-0.027053
0.121957,-0.023181,-0.025514,-0.008385,0.000000,0.000000,0.000000,0.000000,0.173432,1.233591,9.728136,-0.014507,-0.018109,-0.023125
0.243464,-0.026462,-0.026459,0.004958,0.000000,0.000000,0.000000,0.000000,0.187325,1.245191,9.794541,0.002336,0.010024,-0.023345
0.347447,-0.029983,-0.018622,0.015491,0.000000,0.000000,0.000000,0.000000,0.161174,1.297535,9.817579,0.008350,0.023388,-0.021004
0.442622,-0.030391,-0.017594,0.012258,0.000000,0.000000,0.000000,0.000000,0.111496,1.360214,9.751025,0.010082,0.020934,-0.015694
0.568102,-0.031650,-0.025863,0.001550,0.000000,0.000000,0.000000,0.000000,0.062023,1.385708,9.610463,0.019126,0.007596,-0.015670
0.664964,-0.029081,-0.032718,-0.003428,0.000000,0.000000,0.000000,0.000000,0.048309,1.370070,9.557357,0.026879,-0.005914,-0.032009
0.770389,-0.029861,-0.022645,-0.000140,0.000000,0.000000,0.000000,0.000000,0.058870,1.337841,9.611643,0.026636,-0.019995,-0.054640
0.896887,-0.031034,-0.004542,0.002230,0.000000,0.000000,0.000000,0.000000,0.122841,1.350227,9.748468,0.027077,-0.029930,-0.069900
1.000765,-0.033722,0.011640,-0.002866,0.000000,0.000000,0.000000,0.000000,0.185953,1.492198,9.823165,0.027921,-0.024496,-0.065293
1.096762,-0.031952,0.013362,-0.010252,0.000000,0.000000,0.000000,0.000000,0.210519,1.605323,9.786595,0.014917,-0.007328,-0.043057
1.199419,-0.030414,-0.012725,-0.009699,0.000000,0.000000,0.000000,0.000000,0.173269,1.656985,9.663429,-0.006050,0.019430,-0.010103
1.320732,-0.029994,-0.046716,0.004588,0.000000,0.000000,0.000000,0.000000,0.088236,1.504659,9.540814,-0.027360,0.035847,0.013754
1.424251,-0.030584,-0.071077,0.024686,0.000000,0.000000,0.000000,0.000000,0.043378,1.352328,9.539072,-0.028614,0.030864,0.007930
1.526704,-0.033484,-0.062948,0.037923,0.000000,0.000000,0.000000,0.000000,0.014261,1.270037,9.643744,-0.014525,0.010082,-0.020628
1.646021,-0.033155,-0.026573,0.031355,0.000000,0.000000,0.000000,0.000000,0.023442,1.312138,9.782300,-0.002504,-0.025394,-0.061902
1.765784,-0.030026,0.006920,0.003912,0.000000,0.000000,0.000000,0.000000,0.075089,1.424857,9.838189,0.001283,-0.049847,-0.082349
1.866528,-0.028211,0.023280,-0.025617,0.000000,0.000000,0.000000,0.000000,0.130941,1.497687,9.769044,-0.009526,-0.042486,-0.065352
1.965367,-0.028864,0.005602,-0.032552,0.000000,0.000000,0.000000,0.000000,0.162335,1.537761,9.675165,-0.024271,-0.013305,-0.032689
2.070596,-0.036109,-0.028885,-0.013023,0.000000,0.000000,0.000000,0.000000,0.160743,1.425054,9.591591,-0.043694,0.017640,0.001453
2.191009,-0.045281,-0.053621,0.015764,0.000000,0.000000,0.000000,0.000000,0.108254,1.250643,9.609659,-0.050795,0.031695,0.011954
2.290456,-0.038636,-0.063115,0.035355,0.000000,0.000000,0.000000,0.000000,0.065448,1.125143,9.689924,-0.041027,0.020190,-0.006103
